,links
0,"https://www88.hattrick.org/Club/Players/Player.aspx?playerId=442184749&BrowseIds=442184749,439060200,445364384,425432325,426884908,435538789,434515402,424382501,441327947,426898176,425764496,442595802,422904309,431205464,433103676,432045648,444396873,448513579,428683049,431287938,437983823,435968367,428236812,438000101,432104462"
1,"https://www88.hattrick.org/Club/Players/Player.aspx?playerId=441636258&BrowseIds=441636258,439796281,460113726,438606997,431139345,425485823,440444082,435927475,445910946,441354012,444718928,442809331,437647084,442585136,457651894,446084748,443560803,434658116,447518762,426038369,436502835,432053734,427924452,433696914,439428329"
2,"https://www88.hattrick.org/Club/Players/Player.aspx?playerId=443770823&BrowseIds=443770823,435769147,430222085,422846009,438121085,434708733,422825859,445353442,445481081,441238996,445316577,416603859,443820011,438908068,443850787,435462638,424925252,435276903,433434145,442599698,430909456,432144828,441442170,427472259,444107024"
3,"https://www88.hattrick.org/Club/Players/Player.aspx?playerId=432080307&BrowseIds=432080307,444652283,444694516,445532303,436422246,442365660,427493564,440408736,435447625,436795409,445347654,425486243,435514490,440235406,429172062,428183871,437504352,440629655,422608964,442745840,436492858,445567484,445680379,442181312,436949363"
